,Time (h),Oda,gDCWL,mu,mu-ln,regions
0,0.0,0.0,0.25396106694215814,0.8489229168282552,-0.1637868896922962,0
1,1.0,20.0,0.5935395748864185,0.10833847966758442,-2.222494881824962,0
2,2.0,24.0,0.6614552764752705,0.071799810716902,-2.63387343918628,0
3,3.0,26.9,0.7106941601271882,0.053491884355992225,-2.9282253308674364,0
4,4.0,29.2,0.7497456885407782,0.04212789440188544,-3.167045182832981,0
5,5.0,31.1,0.7820056467954829,0.04042464742465618,-3.2083155952723708,0
6,6.0,33.0,0.8142656050501876,0.04285720498054216,-3.1498815038363164,0
7,7.0,35.1,0.849921348384335,0.04873553137415641,-3.021346917914836,0
8,8.0,37.6,0.8923686618773675,0.05551078531567582,-2.8911779470972023,0
9,9.0,40.6,0.9433054380690066,0.056000353817938026,-2.882397270089483,0
10,10.0,43.8,0.9976379993400881,0.05625274833565329,-2.8779003797906815,0
11,11.0,47.2,1.0553663456906124,0.051729648407717765,-2.96172419167031,0
12,12.0,50.5,1.1113967995014153,0.05498549324997766,-2.900685887631528,0
13,13.0,54.2,1.1742188234711035,0.05895829573458922,-2.830924936970163,0
14,14.0,58.4,1.2455303101393982,0.053092835549559514,-2.935713283574379,0
15,15.0,62.4,1.3134460117282503,0.05409618499751012,-2.916991613222282,0
16,16.0,66.7,1.3864553909362662,0.0559620334474622,-2.8830817923278538,0
17,17.0,71.4,1.4662563403031674,0.05737877286815518,-2.8580808547127585,0
18,18.0,76.5,1.5528488598289538,0.0511525475539073,-2.972942982274272,0
19,19.0,81.3,1.6343477017355763,0.054582467047031624,-2.9080425641549064,0
20,20.0,86.7,1.7260338988805266,0.04707545784420952,-3.056003478640024,0
21,21.0,91.6,1.8092306333268702,0.04854102590283882,-3.0253459437022716,0
22,22.0,96.9,1.8992189379320994,0.04714666071973539,-3.0544920948977556,0
23,23.0,102.3,1.9909051350770495,0.04909168199451863,-3.014065668013341,0
24,24.0,108.2,2.0910807949206065,0.04911589284490847,-3.0135726133600746,0
25,25.0,114.4,2.196350132383327,0.048290342701707734,-3.0305236823791115,0
26,26.0,120.8,2.3050152549254905,0.0530752439881117,-2.936044674359357,0
27,27.0,128.2,2.430659302864867,0.051063650613747735,-2.9746823731764214,0
28,28.0,135.7,2.5580012433439645,0.050477393233595014,-2.986229701670603,0
29,29.0,143.5,2.690436861442226,0.04865268990229388,-3.023048180978426,0
30,30.0,151.4,2.824570372080209,0.04811513326660766,-3.0341585304258127,0
31,31.0,159.6,2.9637975603373556,0.04918361838278096,-3.0121946706268368,0
32,32.0,168.4,3.11321210383283,0.054653356491246585,-2.906744648290488,0
33,33.0,178.7,3.2880950354241234,0.051330103877201605,-2.9694778786987137,0
34,34.0,188.9,3.461280074475697,0.05487823623501531,-2.9026384346557563,0
35,35.0,200.4,3.656537716543647,0.055103533525747705,-2.8985414355555505,0
36,36.0,212.6,3.8636806063896447,0.059290538484101374,-2.8253055390962882,0
37,37.0,226.5,4.099687669410906,0.05244036884529968,-2.948078586448146,0
38,38.0,239.5,4.320413699574675,0.055791298660402555,-2.886137359740081,0
39,39.0,254.1,4.568306010373985,0.04966454126689768,-3.002464055904386,0
