,Time (h),Oda,gDCWL,mu,log10_oda,regions
0,0.0,0.0,0.25396106694215814,0.8489229168282552,-0.5952328570342958,1
1,1.0,20.0,0.5935395748864185,0.10833847966758442,-0.22655031869457143,1
2,2.0,24.0,0.6614552764752705,0.071799810716902,-0.17949951479715187,1
3,3.0,26.9,0.7106941601271882,0.053491884355992225,-0.14831725320110337,1
4,4.0,29.2,0.7497456885407782,0.04212789440188544,-0.12508602299868904,1
5,5.0,31.1,0.7820056467954829,0.04042464742465618,-0.10679011092574732,1
6,6.0,33.0,0.8142656050501876,0.04285720498054216,-0.08923390961633464,1
7,7.0,35.1,0.849921348384335,0.04873553137415641,-0.07062126198348861,1
8,8.0,37.6,0.8923686618773675,0.05551078531567582,-0.04945568963506968,1
9,9.0,40.6,0.9433054380690066,0.056000353817938026,-0.025347661886355618,1
10,10.0,43.8,0.9976379993400881,0.05625274833565329,-0.001027017238595434,1
11,11.0,47.2,1.0553663456906124,0.051729648407717765,0.023403240955471118,1
12,12.0,50.5,1.1113967995014153,0.05498549324997766,0.045869141809738286,1
13,13.0,54.2,1.1742188234711035,0.05895829573458922,0.06974903811293208,1
14,14.0,58.4,1.2455303101393982,0.053092835549559514,0.0953543006128842,1
15,15.0,62.4,1.3134460117282503,0.05409618499751012,0.1184122261206547,1
16,16.0,66.7,1.3864553909362662,0.0559620334474622,0.1419059007570908,1
17,17.0,71.4,1.4662563403031674,0.05737877286815518,0.1662099030794089,1
18,18.0,76.5,1.5528488598289538,0.0511525475539073,0.19112918751442867,1
19,19.0,81.3,1.6343477017355763,0.054582467047031624,0.2133444566523843,1
20,20.0,86.7,1.7260338988805266,0.04707545784420952,0.23704932089957623,1
21,21.0,91.6,1.8092306333268702,0.04854102590283882,0.25749393247438557,1
22,22.0,96.9,1.8992189379320994,0.04714666071973539,0.2785750321699113,1
23,23.0,102.3,1.9909051350770495,0.04909168199451863,0.29905056676065717,1
24,24.0,108.2,2.0910807949206065,0.04911589284490847,0.3203708133582258,1
25,25.0,114.4,2.196350132383327,0.048290342701707734,0.341701574594521,1
26,26.0,120.8,2.3050152549254905,0.0530752439881117,0.36267380395908966,1
27,27.0,128.2,2.430659302864867,0.051063650613747735,0.3857240895487953,1
28,28.0,135.7,2.5580012433439645,0.050477393233595014,0.4079007512361815,1
29,29.0,143.5,2.690436861442226,0.04865268990229388,0.4298228045783924,1
30,30.0,151.4,2.824570372080209,0.04811513326660766,0.4509523993327087,1
31,31.0,159.6,2.9637975603373556,0.04918361838278096,0.47184853620643596,1
32,32.0,168.4,3.11321210383283,0.054653356491246585,0.49320871027011304,1
33,33.0,178.7,3.2880950354241234,0.051330103877201605,0.5169443614117527,1
34,34.0,188.9,3.461280074475697,0.05487823623501531,0.539236742281142,1
35,35.0,200.4,3.656537716543647,0.055103533525747705,0.5630700574545924,1
36,36.0,212.6,3.8636806063896447,0.059290538484101374,0.5870012179981954,1
37,37.0,226.5,4.099687669410906,0.05244036884529968,0.6127507716909131,1
38,38.0,239.5,4.320413699574675,0.055791298660402555,0.6355253345093979,1
39,39.0,254.1,4.568306010373985,0.04966454126689768,0.6597551876558271,1
40,40.0,267.8,4.800917288315803,0.053702805243746043,0.681324223874297,1
