,Time (h),Oda,gDWL,GR-Exp,GR,mu
0,0.0,0.0,0.25396106694215814,1.429153918521022,-1.3705743034674256,2.4999312293568368
1,1.0,20.0,0.5935395748864185,1.4467148292621426,-0.5216513866391704,1.5951904660198293
2,2.0,24.0,0.6614552764752705,1.4502513825415229,-0.413312906971586,1.4581933096711372
3,3.0,26.9,0.7106941601271882,1.4528204865543766,-0.341513096254684,1.3697769723496158
4,4.0,29.2,0.7497456885407782,1.4548611065249824,-0.2880212118986918,1.305888063129827
5,5.0,31.1,0.7820056467954829,1.4565488766799577,-0.24589331749680635,1.2530905063635884
6,6.0,33.0,0.8142656050501876,1.4582384949965974,-0.20546867007215017,1.2019719958971662
7,7.0,35.1,0.849921348384335,1.4601081202189456,-0.162611465091608,1.1481417164870997
8,8.0,37.6,0.8923686618773675,1.4623368144107576,-0.1138759337174516,1.0897977741431457
9,9.0,40.6,0.9433054380690066,1.4650154852747752,-0.05836514840177578,1.0306960045291322
10,10.0,43.8,0.9976379993400881,1.4678778373072778,-0.002364794583837756,0.9744389349746622
11,11.0,47.2,1.0553663456906124,1.4709248674977273,0.05388795375181553,0.9232416460946818
12,12.0,50.5,1.1113967995014153,1.4738879847419808,0.1056176021595333,0.8752582259449065
13,13.0,54.2,1.1742188234711035,1.4772169629704872,0.16060309540951095,0.8267713728762055
14,14.0,58.4,1.2455303101393982,1.4810043963697728,0.21956139114410017,0.7817461103615303
15,15.0,62.4,1.3134460117282503,1.4846199875400146,0.2726542266936597,0.7409484313430609
16,16.0,66.7,1.3864553909362662,1.4885160291108346,0.3267504116911698,0.7012702717378124
17,17.0,71.4,1.4662563403031674,1.4927855170116784,0.382712445138632,0.6626296726597538
18,18.0,76.5,1.5528488598289538,1.497431421595151,0.4400912180067872,0.6276475389983512
19,19.0,81.3,1.6343477017355763,1.5018164812983212,0.4912437655606945,0.5953182566917904
20,20.0,86.7,1.7260338988805266,1.506764133530582,0.5458262326077261,0.5658330000268232
21,21.0,91.6,1.8092306333268702,1.5112669529342952,0.5929016904519356,0.5394148285800475
22,22.0,96.9,1.8992189379320994,1.5161516143160902,0.6414427163547745,0.5142176487612361
23,23.0,102.3,1.9909051350770495,1.5211437251294693,0.6885893770745098,0.49005598836268655
24,24.0,108.2,2.0910807949206065,1.5266157549421517,0.7376810590690285,0.46657359140596855
25,25.0,114.4,2.196350132383327,1.532385982966819,0.786796951913937,0.4443959715130356
26,26.0,120.8,2.3050152549254905,1.5383638677765148,0.8350872946156447,0.4224254539595913
27,27.0,128.2,2.430659302864867,1.5453031400647077,0.8881625386037564,0.4009963286379283
28,28.0,135.7,2.5580012433439645,1.552366213102384,0.9392261892175041,0.38114665796434727
29,29.0,143.5,2.690436861442226,1.5597439954395702,0.9897035824510991,0.3627183816399479
30,30.0,151.4,2.824570372080209,1.5672499439595018,1.038356272353393,0.34558719362874035
31,31.0,159.6,2.9637975603373556,1.5750768115257525,1.0864714056200007,0.3291755757649564
32,32.0,168.4,3.11321210383283,1.58351720441353,1.1356550240027816,0.3125139543004298
33,33.0,178.7,3.2880950354241234,1.5934502312676504,1.1903083804940282,0.29638878830587523
34,34.0,188.9,3.461280074475697,1.603344417848967,1.2416384843712298,0.281055510318606
35,35.0,200.4,3.656537716543647,1.6145687268625075,1.2965167206062451,0.26601701640213127
36,36.0,212.6,3.8636806063896447,1.6265567585312306,1.3516202541319928,0.251223576638298
37,37.0,226.5,4.099687669410906,1.6403168821015959,1.4109107926160942,0.23758126219363968
38,38.0,239.5,4.320413699574675,1.6532846462880122,1.4633511614613939,0.2250626430505558
39,39.0,254.1,4.568306010373985,1.6679628053265385,1.5191424601217964,0.21350874173572945
40,40.0,267.8,4.800917288315803,1.6818469149225208,1.5688070013886941,0.20275061201398648
41,41.0,283.4,5.0657885245123255,1.6977880692406024,1.6225098066324402,0.19222984247703484
42,42.0,299.6,5.340847115947177,1.7144916503336398,1.6753842763359168,0.18307697238183177
43,43.0,314.0,5.585343641667045,1.7294679304138938,1.7201459600225868,0.17444012881388
44,44.0,331.5,5.882474836118273,1.747832512618606,1.771977563857281,0.16581945435841847
45,45.0,349.1,6.181303923109222,1.7664852162078803,1.8215292400085445,0.16056830180847817
46,46.0,354.6,6.274688012793893,1.7723521016797565,1.836523764705143,0.15677572272752419
47,47.0,366.9,6.483528795179613,1.7855382944537266,1.8692649292986456,0.1505604081271733
48,48.0,385.7,6.802732592647217,1.805869273007497,1.9173243833211118,0.14293527058341501
49,49.0,408.7,7.193247876783117,1.831034922257745,1.9731427911260357,0.1349657779292087
50,50.0,434.4,7.629606259491491,1.8595398003104637,2.032036239704203,0.12767444565831473
51,51.0,458.5,8.038798361564325,1.8866434260485552,2.0842796145041125,0.12235352794699592
52,52.0,474.4,8.308763275380013,1.904724938648826,2.1173107741313686,0.11826454223355973
53,53.0,491.8,8.60419657729152,1.9246959485459803,2.152250058342482,0.11434838388608802
54,54.0,508.5,8.887744631424978,1.9440454481845064,2.184673320086688,0.110664326349068
55,55.0,526.1,9.186573718415927,1.9646321042941193,2.2177430396920483,0.10706374485534997
56,56.0,544.3,9.495590160645202,1.9861320341321165,2.2508274972189914,0.10375219603505234
57,57.0,561.2,9.782533999858103,2.006290299126372,2.280598550676059,0.10070129667985764
58,58.0,578.7,10.079665194309332,2.027362725033558,2.3105200472413325,0.0976871844670861
59,59.0,597.3,10.395473206697492,2.0499828423635167,2.3413704428036786,0.09470313495761533
60,60.0,616.7,10.724864359403426,2.0738228770314184,2.372564817592233,0.09178141634195794
61,61.0,636.9,11.067838652427127,2.0989163395967987,2.40404348397483,0.0889469618916077
62,62.0,657.6,11.419302408149438,2.1249195869278434,2.435305117261344,0.08645739772062896
63,63.0,675.0,11.714735710060944,2.147005347591328,2.4608475117446256,0.0843998445368078
64,64.0,690.8,11.983002731336908,2.1672420232381557,2.4834892066346694,0.08256558149238234
65,65.0,706.0,12.241082397374548,2.1868746581948493,2.504797704332427,0.08079332819503797
66,66.0,722.1,12.514443096269677,2.207846806983201,2.526883424993886,0.07920056545040832
67,67.0,735.3,12.738564911512889,2.225178117493247,2.5446339994909204,0.07782430616564988
68,68.0,748.4,12.960988834216378,2.242500688191502,2.5619439869499616,0.07652477020135084
