Time (h),Oda
0:00,12.8
1:00,13.5
2:00,16.4
3:00,18.2
4:00,19.6
5:00,21.1
6:00,23.2
7:00,24.2
8:00,26.2
9:00,28.2
10:00,30.1
11:00,32.6
12:00,35.4
13:00,38.5
14:00,40.2
15:00,43.2
16:00,47.3
17:00,50.2
18:00,53.5
19:00,57
20:00,60.2
21:00,63.3
22:00,68
23:00,70.9
24:00,74.8
25:00,80.9
26:00,85.5
27:00,90
28:00,95.2
29:00,101.5
30:00,104.6
31:00,112.7
32:00,120.3
33:00,128.6
34:00,134.4
35:00,143.2
36:00,152.1
37:00,158.5
38:00,169.1
39:00,176.5
40:00,185.4
41:00,197.1
42:00,210.8
43:00,218.4
44:00,237.6
45:00,233.1
46:00,249.7
47:00,259.2
48:00,277.4
49:00,293.1
50:00,304.2
51:00,314
52:00,325.9
53:00,339.2
54:00,345.3
55:00,363.7
56:00,367.1
57:00,379.8
58:00,392.1
59:00,399.8
60:00,410.5
61:00,425.5
62:00,434.2
63:00,449.1
64:00,452
65:00,461.9
66:00,468.7
67:00,482.5
68:00,483.2
69:00,488.4
70:00,496.6
71:00,508.1
72:00,512.7
73:00,511.9
74:00,520.2
75:00,529.7
76:00,539.9
77:00,546.2
78:00,553.2
79:00,564.2
80:00,561.5
81:00,581.9
82:00,578.7
83:00,587.4
84:00,589
85:00,600.6
86:00,603.8
87:00,612.3
88:00,617.4
89:00,616.2
90:00,617.7
91:00,619.8
92:00,619.1
93:00,625.8
94:00,624.5
95:00,631.8
96:00,630.6
97:00,640.2
98:00,643.4
99:00,643.9
100:00,646.4
101:00,649.7
102:00,660
103:00,670.2
104:00,668.7
105:00,672.4
106:00,673
107:00,676.9
108:00,676.9
109:00,691.8
110:00,697.2
111:00,703
112:00,710.3
113:00,712
114:00,715.7
115:00,724.3
116:00,727.9
117:00,741.5
118:00,736.9
119:00,738
120:00,752.4
121:00,752.6
122:00,755.9
123:00,762.6
124:00,770.7
125:00,776.6
126:00,777.6
127:00,791.3
128:00,789.4
129:00,794.1
130:00,799.9
131:00,803.7
132:00,811.3
133:00,815.9
134:00,813.7
135:00,830.6
136:00,827.6
137:00,837.5
138:00,837
139:00,841.7
140:00,852.8
141:00,851.3
142:00,860.5
143:00,866
144:00,877.2
145:00,868.8
146:00,873
147:00,882.7
148:00,885.8
149:00,893.7
150:00,893.7
151:00,898.2
152:00,902.4
153:00,908.3
154:00,905.3
155:00,902
156:00,896.6
157:00,902
158:00,896.5
159:00,894.5
160:00,897.7
161:00,900.4
162:00,895.9
163:00,898
164:00,898
165:00,894.9
166:00,899.8
167:00,897.8
168:00,903.7
169:00,896.1
170:00,895.6
171:00,890.3
172:00,896.2
173:00,880.1
174:00,889.3
175:00,883.3
176:00,882.7
177:00,884.6
178:00,886
179:00,890.4
180:00,886.5
181:00,892.2
182:00,889.3
183:00,898.1
