Time (h),Oda
0:00,0
1:00,20
2:00,24
3:00,26.9
4:00,29.2
5:00,31.1
6:00,33
7:00,35.1
8:00,37.6
9:00,40.6
10:00,43.8
11:00,47.2
12:00,50.5
13:00,54.2
14:00,58.4
15:00,62.4
16:00,66.7
17:00,71.4
18:00,76.5
19:00,81.3
20:00,86.7
21:00,91.6
22:00,96.9
23:00,102.3
24:00:00,108.2
25:00:00,114.4
26:00:00,120.8
27:00:00,128.2
28:00:00,135.7
29:00:00,143.5
30:00:00,151.4
31:00:00,159.6
32:00:00,168.4
33:00:00,178.7
34:00:00,188.9
35:00:00,200.4
36:00:00,212.6
37:00:00,226.5
38:00:00,239.5
39:00:00,254.1
40:00:00,267.8
41:00:00,283.4
42:00:00,299.6
43:00:00,314
44:00:00,331.5
45:00:00,349.1
46:00:00,354.6
47:00:00,366.9
48:00:00,385.7
49:00:00,408.7
50:00:00,434.4
51:00:00,458.5
52:00:00,474.4
53:00:00,491.8
54:00:00,508.5
55:00:00,526.1
56:00:00,544.3
57:00:00,561.2
58:00:00,578.7
59:00:00,597.3
60:00:00,616.7
61:00:00,636.9
62:00:00,657.6
63:00:00,675
64:00:00,690.8
65:00:00,706
66:00:00,722.1
67:00:00,735.3
68:00:00,748.4
69:00:00,761
70:00:00,770.7
71:00:00,782.5
72:00:00,791.7
73:00:00,805
74:00:00,817.6
75:00:00,835.4
76:00:00,850.8
77:00:00,863.6
78:00:00,877.7
79:00:00,890.5
80:00:00,904.1
81:00:00,918.2
82:00:00,931.6
83:00:00,943.2
84:00:00,956.9
85:00:00,969.5
86:00:00,982.7
87:00:00,991.9
88:00:00,1003
89:00:00,1008.9
90:00:00,1012
91:00:00,1016.6
92:00:00,1018.9
93:00:00,1027.4
94:00:00,1035.5
95:00:00,1044.9
96:00:00,1051.4
97:00:00,1057.1
98:00:00,1068.7
99:00:00,1076.2
100:00:00,1083.5
101:00:00,1090.6
102:00:00,1099.4
103:00:00,1109
104:00:00,1118.5
105:00:00,1129.6
106:00:00,1141
107:00:00,1149
108:00:00,1158.7
109:00:00,1167.6
110:00:00,1179.1
111:00:00,1186
112:00:00,1196.6
113:00:00,1203.7
114:00:00,1213.6
115:00:00,1222.5
116:00:00,1224
117:00:00,1234.6
118:00:00,1243.3
119:00:00,1252.5
120:00:00,1265.1
121:00:00,1274.1
122:00:00,1284.4
123:00:00,1295.8
124:00:00,1305.4
125:00:00,1313.8
126:00:00,1320.9
127:00:00,1329.8
128:00:00,1339.6
129:00:00,1348.4
130:00:00,1362.2
131:00:00,1370.1
132:00:00,1382.5
133:00:00,1392.1
134:00:00,1402.8
135:00:00,1413.3
136:00:00,1421.7
137:00:00,1430.7
138:00:00,1438
139:00:00,1447.3
140:00:00,1455.5
141:00:00,1461.6
142:00:00,1471.3
143:00:00,1483.3
144:00:00,1490.4
145:00:00,1498.5
146:00:00,1512.1
147:00:00,1522.6
148:00:00,1534.5
149:00:00,1541
150:00:00,1544.9
151:00:00,1556.2
152:00:00,1563.2
153:00:00,1571.9
154:00:00,1576.8
155:00:00,1579.9
156:00:00,1578.5
157:00:00,1578.4
158:00:00,1575.1
159:00:00,1578.5
160:00:00,1576.8
161:00:00,1574.9
162:00:00,1582.1
163:00:00,1585.2
164:00:00,1586.8
165:00:00,1588.1
166:00:00,1587.3
167:00:00,1585.7
168:00:00,1579.8
169:00:00,1578
170:00:00,1586.1
171:00:00,1591
172:00:00,1594.1
173:00:00,1592.3
174:00:00,1588.2
175:00:00,1588.2
176:00:00,1587
177:00:00,1589.6
178:00:00,1589
179:00:00,1590.7
180:00:00,1590.6
181:00:00,1592.5
182:00:00,1589.7
183:00:00,1592.8
