Time (h),ODa
0:00,0.6
1:00,35.5
2:00,38.4
3:00,40.9
4:00,43.3
5:00,45
6:00,46.1
7:00,46.1
8:00,45.2
9:00,44.6
10:00,44.3
11:00,45.7
12:00,45.4
13:00,45.3
14:00,45.6
15:00,46.2
16:00,46.7
17:00,47.1
18:00,47.7
19:00,48.3
20:00,48.9
21:00,49.4
22:00,49.8
23:00,50.2
24:00,50.7
25:00,51.6
26:00,51.6
27:00,52
28:00,52.4
29:00,52.9
30:00,53.6
31:00,53.4
32:00,54
33:00,54.7
34:00,55
35:00,55.3
36:00,55.6
37:00,56.1
38:00,56.6
39:00,56.6
40:00,57.1
41:00,57.4
42:00,57.8
43:00,58.1
44:00,58.4
45:00,58.4
46:00,58.6
47:00,58.8
48:00,58.7
49:00,59.4
50:00,59.4
51:00,60
52:00,60.5
53:00,60.4
54:00,60.4
55:00,60.7
56:00,60.7
57:00,60.9
58:00,60.9
59:00,61
60:00,61.1
61:00,61.1
62:00,61.1
63:00,61.2
64:00,61.2
65:00,61.4
66:00,61.5
67:00,61.6
68:00,61.6
69:00,61.6
70:00,61.7
71:00,61.8
72:00,61.8
73:00,61.6
74:00,62.4
75:00,62.3
76:00,62.2
77:00,62.3
78:00,62.1
79:00,62.3
80:00,62.2
81:00,62.1
82:00,62.3
83:00,62.4
84:00,62.3
85:00,62.5
86:00,62.3
87:00,62.1
88:00,62
89:00,62
90:00,61.8
91:00,62
92:00,62.1
93:00,61.8
94:00,61.9
95:00,61.5
96:00,61.4
97:00,61.6
98:00,61.7
99:00,61.2
100:00,61.5
101:00,61.4
102:00,61.5
103:00,61.4
104:00,61.2
105:00,61
106:00,60.9
107:00,61
108:00,60.9
109:00,60.9
110:00,60.7
111:00,60.9
112:00,60.7
113:00,60.7
114:00,60.5
115:00,60.7
116:00,60.5
117:00,60.7
118:00,60.5
119:00,60.4
120:00,60.5
121:00,60.5
122:00,60.6
123:00,60.8
124:00,61
125:00,61.4
126:00,61.5
127:00,62.1
128:00,62.6
129:00,62.9
130:00,63.6
131:00,64.3
132:00,65.3
133:00,65.9
134:00,66.8
135:00,67.6
136:00,68.8
137:00,69.8
138:00,70.9
139:00,71.9
140:00,72.9
141:00,74
142:00,74.8
143:00,75.8
144:00,76.7
145:00,78.4
146:00,80
147:00,81.7
148:00,83.8
149:00,86
150:00,88.3
151:00,90.5
152:00,93
153:00,95.7
154:00,98.3
155:00,101.5
156:00,104.8
157:00,107.9
158:00,112
159:00,115.7
160:00,119.6
161:00,124.3
162:00,128.8
163:00,134.1
164:00,139.5
165:00,145
166:00,151.6
167:00,157.9
168:00,165.3
169:00,172.3
170:00,181
171:00,189.6
172:00,197.9
173:00,209
174:00,219.6
175:00,225
176:00,241.6
177:00,253.7
178:00,264.6
179:00,276.9
180:00,287.9
181:00,300.2
182:00,313.4
183:00,329.3
184:00,346.5
185:00,365
186:00,373.8
187:00,393.6
188:00,416.1
189:00,442.9
190:00,468.4
191:00,491
192:00,510.4
193:00,535.8
194:00,553.5
195:00,573.6
196:00,592.5
197:00,613
198:00,631.8
199:00,644.5
200:00,662.3
201:00,680.1
202:00,698.8
203:00,721.6
204:00,738.9
205:00,758.6
206:00,774.8
207:00,791.8
208:00,804.9
209:00,816.7
210:00,828.8
211:00,842.4
212:00,856.5
213:00,866.2
214:00,874.8
215:00,884.9
216:00,900.3
217:00,910.6
218:00,924
219:00,935.7
220:00,950.2
221:00,959.9
222:00,971.5
223:00,983.4
224:00,992.6
225:00,1004.9
226:00,1013.6
227:00,1016.8
228:00,1014.5
229:00,1017.4
230:00,1026
231:00,1034.7
232:00,1071
233:00,1121.7
234:00,1057.9
235:00,1065.6
236:00,1077.7
237:00,1096.3
238:00,1112.1
239:00,1116.9
240:00,1126.6
241:00,1131.5
242:00,1142.1
243:00,1136
244:00,1144.9
245:00,1154.3
246:00,1157.8
247:00,1170.1
248:00,1180.2
249:00,1196.3
250:00,1203.1
251:00,1215.4
252:00,1220.8
253:00,1233.7
254:00,1244.5
255:00,1254.1
256:00,1268.4
257:00,1277.2
258:00,1288.7
259:00,1301.5
260:00,1313.8
261:00,1323.9
262:00,1331.2
263:00,1341.9
264:00,1348.9
265:00,1359.2
266:00,1368.5
267:00,1383.9
