Time (h),ODa
0:00,0
1:00,27.9
2:00,30.1
3:00,33.9
4:00,37.3
5:00,39.7
6:00,39.3
7:00,37.6
8:00,35.7
9:00,34.2
10:00,33.7
11:00,33.9
12:00,34.9
13:00,37.1
14:00,40.1
15:00,43.3
16:00,46.4
17:00,47.9
18:00,48.5
19:00,49.2
20:00,49.4
21:00,49.5
22:00,49.3
23:00,49.1
24:00,49
25:00,48.9
26:00,48.7
27:00,48.9
28:00,48.7
29:00,48.3
30:00,48
31:00,48
32:00,48
33:00,48
34:00,48.1
35:00,47.9
36:00,47.8
37:00,47.9
38:00,47.7
39:00,47.8
40:00,47.8
41:00,47.7
42:00,47.6
43:00,47.5
44:00,47.3
45:00,47.1
46:00,46.9
47:00,46.9
48:00,47
49:00,46.9
50:00,46.9
51:00,46.7
52:00,46.8
53:00,46.9
54:00,46.7
55:00,46.8
56:00,46.7
57:00,46.8
58:00,46.9
59:00,47.2
60:00,47
61:00,47
62:00,47
63:00,47.5
64:00,47.6
65:00,47.7
66:00,47.8
67:00,47.5
68:00,47.4
69:00,47
70:00,47.2
71:00,46.9
72:00,47
73:00,46.8
74:00,46.9
75:00,46.9
76:00,46.9
77:00,46.9
78:00,46.2
79:00,46.1
80:00,46
81:00,45.7
82:00,45.7
83:00,45.7
84:00,45.7
85:00,45.9
86:00,45.7
87:00,46.2
88:00,46.4
89:00,46.6
90:00,46.8
91:00,47.2
92:00,46.9
93:00,47.1
94:00,47.9
95:00,48.4
96:00,49.2
97:00,49.9
98:00,51
99:00,51.8
100:00,52.8
101:00,54
102:00,55.2
103:00,56.6
104:00,57.8
105:00,59.1
106:00,60.8
107:00,62.4
108:00,64.2
109:00,66.1
110:00,67.9
111:00,69.9
112:00,72.3
113:00,74.4
114:00,76.6
115:00,78.6
116:00,81.1
117:00,83.6
118:00,86.7
119:00,89.5
120:00,93.1
121:00,96.5
122:00,99.2
123:00,103.2
124:00,106.5
125:00,110.7
126:00,115.6
127:00,120.5
128:00,126
129:00,131.2
130:00,136.6
131:00,142.4
132:00,148.7
133:00,155.2
134:00,162.2
135:00,168.5
136:00,177.3
137:00,185.5
138:00,195.6
139:00,204.3
140:00,216.2
141:00,226.3
142:00,238.2
143:00,249.5
144:00,261.5
145:00,274.9
146:00,287.8
147:00,302.9
148:00,318.4
149:00,334.4
150:00,350.6
151:00,368.2
152:00,377.7
153:00,398
154:00,420.9
155:00,446.6
156:00,473.8
157:00,497.7
158:00,518.7
159:00,541.9
160:00,563.5
161:00,588.2
162:00,610.9
163:00,631.9
164:00,650.7
165:00,670.8
166:00,683.5
167:00,702.5
168:00,721.9
169:00,743
170:00,761.3
171:00,777.8
172:00,794
173:00,809.9
174:00,823
175:00,837.2
176:00,850.2
177:00,861.3
178:00,873.7
179:00,887
180:00,902.5
181:00,918.7
182:00,932.5
183:00,945.5
184:00,959.2
185:00,972.2
186:00,987.1
187:00,998.5
188:00,1008.3
189:00,1019.4
190:00,1025.9
191:00,1029.5
192:00,1037.5
193:00,1041.5
194:00,1047.2
195:00,1057.4
196:00,1065
197:00,1076.3
198:00,1085
199:00,1093.2
200:00,1102.8
201:00,1111.4
202:00,1122.5
203:00,1128.7
204:00,1140.6
205:00,1153.1
206:00,1162.1
207:00,1175.3
208:00,1185.6
209:00,1197.6
210:00,1209.9
211:00,1213.5
212:00,1225.1
213:00,1236.4
214:00,1247.1
215:00,1259
216:00,1269.1
217:00,1283
218:00,1290
219:00,1300.8
220:00,1311.1
221:00,1324.9
222:00,1336.6
223:00,1343.3
224:00,1354.2
225:00,1364.8
226:00,1376.8
227:00,1386.8
228:00,1400.7
229:00,1414
230:00,1422.2
231:00,1440.9
232:00,1451.2
233:00,1463.2
234:00,1468.9
235:00,1473.8
236:00,1482.6
237:00,1499.4
238:00,1508.1
239:00,1515.1
240:00,1518.9
241:00,1533
242:00,1547.5
243:00,1557.9
244:00,1563.2
245:00,1578.2
246:00,1586.4
247:00,1598.6
248:00,1614.3
249:00,1624.6
250:00,1635.9
251:00,1647.9
252:00,1666.8
253:00,1678
254:00,1684.9
255:00,1693.8
256:00,1705.1
257:00,1719.5
258:00,1718
259:00,1732
260:00,1740.3
261:00,1751
262:00,1754.8
263:00,1758.4
264:00,1757.5
265:00,1762.1
266:00,1765.3
267:00,1763.4
268:00,1772.1
269:00,1774.3
270:00,1773.1
271:00,1775.7
272:00,1776
273:00,1779.1
274:00,1777.2
275:00,1770.7
276:00,1763.6
277:00,1766
278:00,1764.8
279:00,1763.8
280:00,1753.8
281:00,1758.7
282:00,1756.8
283:00,1757.3
284:00,1757.4
285:00,1756.5
286:00,1758.9
287:00,1764.6
288:00,1768.4
289:00,1765.2
290:00,1772
291:00,1776.4
292:00,1778.4
293:00,1782
294:00,1783.3
295:00,1783
296:00,1785.7
297:00,1785.6
298:00,1787.4
299:00,1788.6
300:00,1790.3
301:00,1792.7
302:00,1795.6
303:00,1795.4
