Time (h),Biomass (g/L)
0.0,0.2
16.5,0.7
24.0,1.3
39.0,3.4
48.0,6.9
72.0,15.7
88.5,21.0
96.0,23.5
111.0,23.9
120.0,22.6
135.0,24.3
144.0,25.4
168.0,24.9
