Time (h),Biomass (g/L)
0.0,0.2
16.5,0.8
24.0,1.3
39.0,3.5
48.0,6.6
72.0,15.5
88.5,20.5
96.0,21.4
111.0,22.1
120.0,22.5
135.0,23.0
144.0,23.9
168.0,24.5
